,DICE_min,h,w,IOU_min,Tissue_name
70,0.9150406611645236,6,4,0.8433870546214827,GCA019TIA_TISSUE01
59,0.9106226661404414,5,4,0.8359111557004709,GCA019TIA_TISSUE01
47,0.8839337090527708,4,3,0.7920082491717919,GCA019TIA_TISSUE01
58,0.8818766252982994,5,3,0.7887113759101686,GCA019TIA_TISSUE01
48,0.8684483346437244,4,4,0.7674844739592941,GCA019TIA_TISSUE01
69,0.8665799251692754,6,3,0.7645708280742234,GCA019TIA_TISSUE01
46,0.8650328448711471,4,2,0.7621655313654779,GCA019TIA_TISSUE01
30,0.862345373019986,2,8,0.7580027827154747,GCA019TIA_TISSUE01
71,0.8549858776091251,6,5,0.7467033470502974,GCA019TIA_TISSUE01
34,0.8525071513158962,3,1,0.7429302520652005,GCA019TIA_TISSUE01
57,0.8465760259448671,5,2,0.7339677733318914,GCA019TIA_TISSUE01
35,0.8367999554225111,3,2,0.7193947071472674,GCA019TIA_TISSUE01
29,0.8357437654183864,2,7,0.7178349066077525,GCA019TIA_TISSUE01
82,0.8351063174114022,7,5,0.716894880531629,GCA019TIA_TISSUE01
51,0.8280436609971416,4,7,0.7065482163795198,GCA019TIA_TISSUE01
36,0.8278842286468138,3,3,0.706316089997694,GCA019TIA_TISSUE01
40,0.819916530327172,3,7,0.6947953694788129,GCA019TIA_TISSUE01
41,0.8033178207055292,3,8,0.6712875269682232,GCA019TIA_TISSUE01
20,0.7682312237123228,1,9,0.6236813584669919,GCA019TIA_TISSUE01
21,0.7434988548675932,1,10,0.5917215895487665,GCA019TIA_TISSUE01
31,0.738835413592086,2,9,0.5858358389973974,GCA019TIA_TISSUE01
49,0.9239268386723645,6,1,0.8586096855463282,GCA019TIA_TISSUE02
41,0.9188637722853937,5,1,0.8499056351369918,GCA019TIA_TISSUE02
58,0.916424548402271,7,2,0.84574133444146,GCA019TIA_TISSUE02
34,0.9131465528536813,4,2,0.8401745012184223,GCA019TIA_TISSUE02
66,0.912873650877862,8,2,0.8397125611158387,GCA019TIA_TISSUE02
26,0.9127673865964737,3,2,0.839532750713853,GCA019TIA_TISSUE02
42,0.9087436939346686,5,2,0.8327500046357248,GCA019TIA_TISSUE02
57,0.9030145752849057,7,1,0.8231782801666977,GCA019TIA_TISSUE02
67,0.9027055942344056,8,3,0.8226649014988625,GCA019TIA_TISSUE02
50,0.8956572349043792,6,2,0.8110319216215698,GCA019TIA_TISSUE02
54,0.8834378297845925,6,6,0.7912123958258046,GCA019TIA_TISSUE02
61,0.8812826581756232,7,5,0.7877616849475572,GCA019TIA_TISSUE02
33,0.8781164998609662,4,1,0.782716297861714,GCA019TIA_TISSUE02
62,0.8777876620526871,7,6,0.7821939149753838,GCA019TIA_TISSUE02
40,0.8769531996394266,5,0,0.7808696835767358,GCA019TIA_TISSUE02
