Tissue_name,h,w
GCA019TIA_TISSUE02,3,2
GCA019TIA_TISSUE02,4,2
GCA019TIA_TISSUE02,5,3
GCA019TIA_TISSUE02,6,3
GCA054ACB_TISSUE01,1,2
GCA054ACB_TISSUE01,2,2
GCA054ACB_TISSUE01,3,4
GCA054ACB_TISSUE01,6,7
GCA054TIA_TISSUE02,1,1
GCA054TIA_TISSUE02,3,3
GCA054TIA_TISSUE02,4,4
GCA054TIA_TISSUE02,5,6
GCA062ACA_TISSUE01,2,5
GCA062ACA_TISSUE01,5,7
GCA062ACA_TISSUE02,1,5
GCA062TIA_TISSUE01,2,2
GCA062TIA_TISSUE03,2,4
GCA062TIA_TISSUE03,4,3
GCA062TIA_TISSUE03,4,4
GCA062TIA_TISSUE03,5,4
GCA062TIA_TISSUE03,7,3
GCA062TIA_TISSUE03,8,2
GCA062TIA_TISSUE03,8,3
GCA066ACB_TISSUE01,4,1
GCA066ACB_TISSUE01,4,2
GCA066ACB_TISSUE01,9,5
GCA066ACB_TISSUE02,10,2
GCA066ACB_TISSUE02,10,3
GCA066ACB_TISSUE02,1,2
GCA066ACB_TISSUE02,2,1
GCA066ACB_TISSUE02,2,2
GCA066ACB_TISSUE02,3,1
GCA066ACB_TISSUE02,3,2
GCA066ACB_TISSUE02,5,3
GCA066ACB_TISSUE02,5,5
GCA066ACB_TISSUE02,6,4
GCA066ACB_TISSUE02,6,5
GCA066ACB_TISSUE02,6,6
GCA066ACB_TISSUE02,7,5
GCA066ACB_TISSUE02,7,6
GCA066TIB_TISSUE02,4,5
GCA066TIB_TISSUE02,5,5
GCA066TIB_TISSUE02,6,2
GCA066TIB_TISSUE02,6,3
GCA066TIB_TISSUE02,6,5
GCA066TIB_TISSUE02,7,5
GCA066TIB_TISSUE02,7,6
GCA069ACB_TISSUE02,1,4
GCA069ACB_TISSUE02,2,4
GCA069ACB_TISSUE02,2,5
GCA069ACB_TISSUE02,3,6
GCA069ACB_TISSUE02,5,3
GCA069ACB_TISSUE02,5,4
GCA069ACB_TISSUE02,6,4
GCA071ACB_TISSUE01,5,10
GCA071ACB_TISSUE01,5,8
GCA071ACB_TISSUE01,7,10
GCA071ACB_TISSUE01,7,9
GCA071ACB_TISSUE02,2,2
GCA071ACB_TISSUE03,0,3
GCA071ACB_TISSUE03,1,1
GCA071ACB_TISSUE03,1,3
GCA071TIA,2,2
GCA071TIA,2,4
GCA071TIA,3,3
GCA071TIA,3,4
GCA071TIA,4,2
GCA071TIA,5,2
GCA071TIA,5,3
GCA071TIA,5,4
GCA072ACB_TISSUE01,1,4
GCA072ACB_TISSUE01,3,8
GCA072TIB_TISSUE01,4,5
GCA072TIB_TISSUE02,2,5
GCA072TIB_TISSUE02,4,7
GCA072TIB_TISSUE02,4,9
GCA072TIB_TISSUE02,5,6
GCA075ACB_TISSUE01,1,3
GCA075ACB_TISSUE01,1,4
GCA075ACB_TISSUE01,2,2
GCA075ACB_TISSUE01,2,3
GCA075ACB_TISSUE02,1,3
GCA075ACB_TISSUE02,1,4
GCA075ACB_TISSUE02,2,3
GCA075ACB_TISSUE02,2,4
GCA075ACB_TISSUE02,3,3
GCA075ACB_TISSUE02,5,6
GCA075TIB_TISSUE01,3,2
GCA075TIB_TISSUE01,6,3
GCA077ACB_TISSUE01,2,3
GCA077ACB_TISSUE01,3,3
GCA077ACB_TISSUE01,3,4
GCA077ACB_TISSUE01,3,5
GCA077ACB_TISSUE02,2,4
GCA077ACB_TISSUE02,2,5
GCA077ACB_TISSUE02,3,2
GCA077ACB_TISSUE02,3,3
GCA077ACB_TISSUE02,3,4
GCA077ACB_TISSUE02,4,2
GCA077ACB_TISSUE02,4,4
GCA077ACB_TISSUE02,4,5
GCA077ACB_TISSUE02,5,2
GCA077ACB_TISSUE02,5,3
GCA077ACB_TISSUE02,5,4
GCA081ACB_TISSUE02,11,3
GCA081ACB_TISSUE02,7,4
GCA081ACB_TISSUE02,9,4
GCA081TIB_TISSUE02,4,12
GCA081TIB_TISSUE02,5,10
GCA081TIB_TISSUE02,5,11
GCA081TIB_TISSUE02,6,11
GCA081TIB_TISSUE02,6,12
GCA081TIB_TISSUE02,9,12
