Tissue_name,h,w,DICE_min,IOU_min
GCA062ACA_TISSUE02,1,5,0.7536169883077379,0.6046431804975608
GCA066ACB_TISSUE02,2,2,0.7589255679316245,0.6115068913850706
GCA066ACB_TISSUE02,6,4,0.7664485984768548,0.621334950072183
GCA075TIB_TISSUE01,6,3,0.7747873700345178,0.6323697218631722
GCA066ACB_TISSUE02,7,5,0.7764676268317745,0.6346114282380468
GCA066TIB_TISSUE02,4,5,0.7770201170153082,0.6353498760085772
GCA019TIA_TISSUE02,5,3,0.7792592660554667,0.63834952368426
GCA066ACB_TISSUE02,2,1,0.7812985662535533,0.6410910372458822
GCA071TIA,2,2,0.7857524999238823,0.6471106589674887
GCA066ACB_TISSUE02,6,5,0.7886799684191969,0.6510913283502375
GCA071TIA,5,3,0.7941355497619099,0.6585612086044272
GCA075TIB_TISSUE01,3,2,0.7949148032349111,0.6596336967450663
GCA019TIA_TISSUE02,6,3,0.8015980885070573,0.6688891938668924
GCA062ACA_TISSUE01,2,5,0.8057983623245507,0.6747590498142862
GCA075ACB_TISSUE02,2,3,0.8144790515980523,0.6870220662873563
GCA071ACB_TISSUE01,5,10,0.8156893984655799,0.6887461763905126
GCA071TIA,2,4,0.8159945077929518,0.6891813536032635
GCA075ACB_TISSUE02,1,4,0.8210340020499504,0.6964017651718025
GCA066TIB_TISSUE02,5,5,0.8226259631167492,0.6986955184559767
GCA081TIB_TISSUE02,4,12,0.8297569733397016,0.7090467146022702
GCA075ACB_TISSUE02,5,6,0.8325311732026547,0.7131078398782543
GCA075ACB_TISSUE02,2,4,0.833912102466364,0.7151365726633054
GCA075ACB_TISSUE02,3,3,0.8401353195102751,0.7243390833795786
GCA066ACB_TISSUE01,4,2,0.8405697420520418,0.7249851694743087
GCA081ACB_TISSUE02,7,4,0.8546836188191963,0.7462423770958645
GCA081TIB_TISSUE02,9,12,0.8547283385471011,0.7463105630875273
GCA066ACB_TISSUE02,6,6,0.858305078339693,0.7517814628548097
